"","Predator","Prey"
"404","Ciconia ciconia","Calidris alba"
"405","Ciconia ciconia","Calidris minuta"
"406","Ciconia ciconia","Calidris temminckii"
"407","Ciconia ciconia","Calidris melanotos"
"408","Ciconia ciconia","Calidris alpina"
"409","Ciconia ciconia","Calidris maritima"
"410","Ciconia ciconia","Limicola falcinellus"
"411","Ciconia ciconia","Philomachus pugnax"
"412","Ciconia ciconia","Phalaropus lobatus"
"413","Ciconia ciconia","Phalaropus fulicarius"
"414","Ciconia ciconia","Ammomanes deserti"
"415","Ciconia ciconia","Melanocorypha calandra"
"416","Ciconia ciconia","Melanocorypha bimaculata"
"417","Ciconia ciconia","Melanocorypha leucoptera"
"418","Ciconia ciconia","Calandrella brachydactyla"
"419","Ciconia ciconia","Calandrella rufescens"
"420","Ciconia ciconia","Calandrella cheleensis"
"421","Ciconia ciconia","Chersophilus duponti"
"422","Ciconia ciconia","Galerida cristata"
"423","Ciconia ciconia","Lullula arborea"
"424","Ciconia ciconia","Alauda arvensis"
"425","Ciconia ciconia","Eremophila alpestris"
"426","Ciconia ciconia","Motacilla alba"
"427","Ciconia ciconia","Motacilla flava"
"428","Ciconia ciconia","Cisticola juncidis"
"429","Ciconia ciconia","Galerida theklae"
"430","Ciconia ciconia","Vanellus gregarius"
"431","Ciconia ciconia","Cursorius cursor"
"432","Cygnus olor","Alytes cisternasii"
"433","Cygnus olor","Alytes dickhilleni"
"434","Cygnus olor","Alytes muletensis"
"435","Cygnus olor","Alytes obstetricans"
"436","Cygnus olor","Bombina bombina"
"437","Cygnus olor","Bombina pachypus"
"438","Cygnus olor","Bombina variegata"
"439","Cygnus olor","Bufo bufo"
"440","Cygnus olor","Epidalea calamita"
"441","Cygnus olor","Bufo verrucosissimus"
"442","Cygnus olor","Bufotes viridis"
"443","Cygnus olor","Discoglossus galganoi"
"444","Cygnus olor","Discoglossus jeanneae"
"445","Cygnus olor","Discoglossus montalentii"
"446","Cygnus olor","Discoglossus pictus"
"447","Cygnus olor","Discoglossus sardus"
"448","Cygnus olor","Hyla arborea"
"449","Cygnus olor","Hyla intermedia"
"450","Cygnus olor","Hyla meridionalis"
"451","Cygnus olor","Hyla sarda"
"452","Cygnus olor","Hyla savignyi"
"453","Cygnus olor","Pelobates cultripes"
"454","Cygnus olor","Pelobates fuscus"
"455","Cygnus olor","Pelobates syriacus"
"456","Cygnus olor","Pelodytes caucasicus"
"457","Cygnus olor","Pelodytes ibericus"
"458","Cygnus olor","Pelodytes punctatus"
"459","Cygnus olor","Rana arvalis"
"460","Cygnus olor","Pelophylax bedriagae"
"461","Cygnus olor","Pelophylax bergeri"
"462","Cygnus olor","Pelophylax cerigensis"
"463","Cygnus olor","Pelophylax cretensis"
"464","Cygnus olor","Rana dalmatina"
"465","Cygnus olor","Pelophylax epeiroticus"
"466","Cygnus olor","Pelophylax lessonae"
"467","Cygnus olor","Rana graeca"
"468","Cygnus olor","Rana iberica"
"469","Cygnus olor","Rana italica"
"470","Cygnus olor","Pelophylax kurtmuelleri"
"471","Cygnus olor","Rana latastei"
"472","Cygnus olor","Rana macrocnemis"
"473","Cygnus olor","Pelophylax perezi"
"474","Cygnus olor","Rana pyrenaica"
"475","Cygnus olor","Pelophylax ridibundus"
"476","Cygnus olor","Pelophylax shqipericus"
"477","Cygnus olor","Rana tavasensis"
"478","Cygnus olor","Rana temporaria"
"479","Cygnus olor","Pelophylax caralitanus"
"480","Cygnus olor","Bufotes boulengeri"
"481","Cygnus olor","Bufotes variabilis"
"482","Tadorna ferruginea","Alytes cisternasii"
"483","Tadorna ferruginea","Alytes dickhilleni"
"484","Tadorna ferruginea","Alytes muletensis"
"485","Tadorna ferruginea","Alytes obstetricans"
"486","Tadorna ferruginea","Bombina bombina"
"487","Tadorna ferruginea","Bombina pachypus"
"488","Tadorna ferruginea","Bombina variegata"
"489","Tadorna ferruginea","Bufo bufo"
"490","Tadorna ferruginea","Epidalea calamita"
"491","Tadorna ferruginea","Bufo verrucosissimus"
"492","Tadorna ferruginea","Bufotes viridis"
"493","Tadorna ferruginea","Chioglossa lusitanica"
"494","Tadorna ferruginea","Discoglossus galganoi"
"495","Tadorna ferruginea","Discoglossus jeanneae"
"496","Tadorna ferruginea","Discoglossus montalentii"
"497","Tadorna ferruginea","Discoglossus pictus"
"498","Tadorna ferruginea","Discoglossus sardus"
"499","Tadorna ferruginea","Calotriton asper"
"500","Tadorna ferruginea","Euproctus montanus"
"501","Tadorna ferruginea","Euproctus platycephalus"
"502","Tadorna ferruginea","Hyla arborea"
"503","Tadorna ferruginea","Hyla intermedia"
"504","Tadorna ferruginea","Hyla meridionalis"
"505","Tadorna ferruginea","Hyla sarda"
"506","Tadorna ferruginea","Hyla savignyi"
"507","Tadorna ferruginea","Lyciasalamandra antalyana"
"508","Tadorna ferruginea","Lyciasalamandra atifi"
"509","Tadorna ferruginea","Lyciasalamandra billae"
"510","Tadorna ferruginea","Lyciasalamandra fazilae"
"511","Tadorna ferruginea","Lyciasalamandra flavimembris"
