"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"116","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"117","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"118","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"119","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"120","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"121","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"122","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"123","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"124","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"125","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"126","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"127","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"128","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"129","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"130","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"131","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"132","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"133","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"134","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"135","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"136","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"137","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"138","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
