"","Predator","Prey"
"496","Ardea purpurea","Microtus oeconomus"
"497","Ardea purpurea","Microtus savii"
"498","Ardea purpurea","Microtus schidlovskii"
"499","Ardea purpurea","Microtus socialis"
"500","Ardea purpurea","Microtus subterraneus"
"501","Ardea purpurea","Microtus tatricus"
"502","Ardea purpurea","Microtus thomasi"
"503","Ardea purpurea","Mus cypriacus"
"504","Ardea purpurea","Mus macedonicus"
"505","Ardea purpurea","Mus musculus"
"506","Ardea purpurea","Mus spicilegus"
"507","Ardea purpurea","Mus spretus"
"508","Ardea purpurea","Myodes glareolus"
"509","Ardea purpurea","Myodes rufocanus"
"510","Ardea purpurea","Myodes rutilus"
"511","Ardea purpurea","Myopus schisticolor"
"512","Ardea purpurea","Neomys anomalus"
"513","Ardea purpurea","Neomys fodiens"
"514","Ardea purpurea","Neomys teres"
"515","Ardea purpurea","Prometheomys schaposchnikowi"
"516","Ardea purpurea","Rhombomys opimus"
"517","Ardea purpurea","Sorex alpinus"
"518","Ardea purpurea","Sorex antinorii"
"519","Ardea purpurea","Sorex araneus"
"520","Ardea purpurea","Sorex caecutiens"
"521","Ardea purpurea","Sorex coronatus"
"522","Ardea purpurea","Sorex granarius"
"523","Ardea purpurea","Sorex isodon"
"524","Ardea purpurea","Sorex minutissimus"
"525","Ardea purpurea","Sorex minutus"
"526","Ardea purpurea","Sorex raddei"
"527","Ardea purpurea","Sorex samniticus"
"528","Ardea purpurea","Sorex satunini"
"529","Ardea purpurea","Sorex tundrensis"
"530","Ardea purpurea","Sorex volnuchini"
"531","Ardea purpurea","Spermophilus citellus"
"532","Ardea purpurea","Spermophilus fulvus"
"533","Ardea purpurea","Spermophilus major"
"534","Ardea purpurea","Spermophilus musicus"
"535","Ardea purpurea","Spermophilus pygmaeus"
"536","Ardea purpurea","Spermophilus suslicus"
"537","Ardea purpurea","Spermophilus taurensis"
"538","Ardea purpurea","Spermophilus xanthoprymnus"
"539","Ardea purpurea","Suncus etruscus"
"540","Ardea purpurea","Talpa caeca"
"541","Ardea purpurea","Talpa caucasica"
"542","Ardea purpurea","Talpa davidiana"
"543","Ardea purpurea","Talpa europaea"
"544","Ardea purpurea","Talpa levantis"
"545","Ardea purpurea","Talpa occidentalis"
"546","Ardea purpurea","Talpa romana"
"547","Ardea purpurea","Talpa stankovici"
"548","Ardea purpurea","Tatera indica"
"549","Ardea purpurea","Lacerta agilis"
"550","Ardea purpurea","Lacerta bilineata"
"551","Ardea purpurea","Lacerta media"
"552","Ardea purpurea","Lacerta pamphylica"
"553","Ardea purpurea","Lacerta schreiberi"
