"","role","sourceFW","estimate_(Intercept)_serengeti","std.error_(Intercept)_serengeti","estimate_(Intercept)_pyrenees","std.error_(Intercept)_pyrenees","insample","estimate_empirical_europe","estimate_(Intercept)_arctic","std.error_(Intercept)_arctic","estimate_empirical_serengeti","std.error_empirical_serengeti","estimate_empirical_pyrenees","std.error_empirical_pyrenees","estimate_(Intercept)_europe","std.error_(Intercept)_europe","estimate_empirical_arctic","std.error_empirical_arctic","r.squared_serengeti","r.squared_pyrenees","std.error_empirical_europe","r.squared_arctic"
"124","position16","europe",NA,NA,NA,NA,"within food web",10.1639110234168,NA,NA,NA,NA,NA,NA,1043.19586263628,49.2541165248191,NA,NA,NA,NA,1.60418610996675,NA
"125","position16","pyrenees",207.156643598616,10.7119768461255,NA,NA,"between food webs",10.9293628802424,129.405972359988,8.78885492226284,0.0410442920813933,0.142683172058363,NA,NA,2723.83225682815,80.698801433359,5.20971854494119,3.68644396036753,0.000279477547701132,NA,2.6283264320684,0.0103481407543082
"126","position16","pyrenees",NA,NA,118.156428571429,7.44243817326329,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"127","position16","serengeti",NA,NA,93.5295137442732,5.14016775910943,"between food webs",4.58822013186261,60.7075678805781,2.86915533705358,NA,NA,NA,NA,2723.89056620535,58.4807024947006,-1.34439430686053,1.20345374422385,NA,0,1.90469218132912,0.00649131709072389
"128","position16","serengeti",72.0243944636678,4.7875196239485,NA,NA,"within food web",NA,NA,NA,0.426620486066613,0.0637696007048135,NA,NA,NA,NA,NA,NA,0.131344496901254,NA,NA,NA
"129","position17","arctic",NA,NA,NA,NA,"within food web",NA,82.9337837837838,2.2244548558527,NA,NA,NA,NA,NA,NA,5.4848828828829,4.60676431470373,NA,NA,NA,0.0073671246263154
"130","position17","arctic",289.959344262295,6.2061265622702,126.609591836735,3.2808536135392,"between food webs",81.1272614212486,NA,NA,1.04771744080146,0.202488043283265,NA,NA,2188.22353616545,30.4014907125374,NA,NA,0.0829455324685226,0,6.9493173826907,NA
"131","position17","europe",107.825450819672,2.26085595309617,72.2312244897959,1.82051645987998,"between food webs",NA,61.1706081081081,1.79129490713622,0.49239600199015,0.073765221107625,NA,NA,NA,NA,8.66294744744747,3.7097059684506,0.130838225627163,0,NA,0.0277583244842435
"132","position17","europe",NA,NA,NA,NA,"within food web",36.5862809424818,NA,NA,NA,NA,NA,NA,959.012480220149,11.9825488427044,NA,NA,NA,NA,2.73902802164914,NA
"133","position17","pyrenees",203.193360655738,4.00426925171043,NA,NA,"between food webs",84.508762089868,122.766486486487,3.61946280849919,0.744724414760844,0.130647778033968,NA,NA,2560.19652395084,33.9954903631286,12.7901801801803,7.49577455380625,0.0989147991973639,NA,7.77085092133845,0.0150147005351708
"134","position17","pyrenees",NA,NA,117.570051020408,2.85186148366589,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"135","position17","serengeti",NA,NA,92.945187348285,4.11418205739214,"between food webs",138.381598955634,59.1638720727785,3.83168047159055,NA,NA,NA,NA,2356.17627304078,63.1342174495294,5.5505723716659,7.93526954050236,NA,0,14.431519786747,0.0025550989303324
"136","position17","serengeti",70.3433606557378,3.13379508357265,NA,NA,"within food web",NA,NA,NA,0.537226986777305,0.102246711883237,NA,NA,NA,NA,NA,NA,0.0853098595429083,NA,NA,NA
"137","position18","arctic",NA,NA,NA,NA,"within food web",NA,86.6584010663055,8.44558191341739,NA,NA,NA,NA,NA,NA,3.22974653784523,3.5424597074235,NA,NA,NA,0.00433318975408706
"138","position18","arctic",291.75624137931,22.3307810269932,127.547653061224,11.1207931787321,"between food webs",3.31762220928044,NA,NA,-0.172006155101462,0.280434074638646,NA,NA,2392.50533390673,109.462352805036,NA,NA,0.00126935493733397,0,2.37023418809712,NA
"139","position18","europe",109.513344827586,11.4797956910961,72.7141326530612,7.20187648404809,"between food webs",NA,64.9640478120708,7.4355615434385,0.236909269902087,0.144165395638503,NA,NA,NA,NA,4.8621949393407,3.11881140219033,0.00904078459787543,0,NA,0.0125649761177001
"140","position18","europe",NA,NA,NA,NA,"within food web",3.29190184242522,NA,NA,NA,NA,NA,NA,1064.69395365344,56.5540846871773,NA,NA,NA,NA,1.22458929090294,NA
"141","position18","pyrenees",200.708275862069,17.777158199731,NA,NA,"between food webs",13.6682295351807,128.853817574012,13.0988775380974,0.657819905633606,0.223248837710611,NA,NA,2703.58744954087,133.897656300939,11.6000712936821,5.49426272421397,0.0284962925291469,NA,2.89934205265832,0.0228060398208992
"142","position18","pyrenees",NA,NA,118.292551020408,11.8899878135908,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"143","position18","serengeti",NA,NA,93.6301541024574,5.94418784693792,"between food webs",2.44585903980868,59.3574061391495,3.63021483059758,NA,NA,NA,NA,2726.28728006356,71.7959581614478,-0.735755037613236,1.52267657794578,NA,0,1.5546279633195,0.00122092004448041
"144","position18","serengeti",74.3729310344828,7.10629199675429,NA,NA,"within food web",NA,NA,NA,0.243836561657444,0.089242128065869,NA,NA,NA,NA,NA,NA,0.0246007596287605,NA,NA,NA
"145","position19","arctic",NA,NA,NA,NA,"within food web",NA,29.2414002089864,2.00019217439316,NA,NA,NA,NA,NA,NA,11.5324399164056,8.78719731062876,NA,NA,NA,0.00893736266088941
"146","position19","arctic",112.026885813149,6.29802579508543,46.228112244898,2.75825187512552,"between food webs",0.0424686067117082,NA,NA,-0.841690421266541,0.647147511306509,NA,NA,758.357922150411,24.5577483810435,NA,NA,0.00568239756502074,0,4.1997249598219,NA
"147","position19","europe",22.8513148788928,1.87090514514967,20.8340816326531,1.75981335482409,"between food webs",NA,14.9438453500522,1.34439823550122,1.171821758115,0.192243037416414,NA,NA,NA,NA,11.5144618599792,5.90617877154451,0.111525717570778,0,NA,0.0195111737364797
"148","position19","europe",NA,NA,NA,NA,"within food web",13.4789114696536,NA,NA,NA,NA,NA,NA,233.97168225034,10.3442769695209,NA,NA,NA,NA,1.76901878405686,NA
"149","position19","pyrenees",82.9516955017302,4.02006558754162,NA,NA,"between food webs",8.98652224680513,39.5205851619645,2.40361597473236,1.29816416762783,0.413077927101632,NA,NA,907.699838324379,24.3194733990871,22.1567659352144,10.5595092808322,0.0322886135373198,NA,4.15897654211288,0.0225317315222637
"150","position19","pyrenees",NA,NA,41.5154081632653,2.34542903185494,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"151","position19","serengeti",NA,NA,94.5121970012495,6.0664819203743,"between food webs",-0.530345610781635,95.0367430106839,7.92101281952886,NA,NA,NA,NA,2950.02957232964,82.4422657671286,-35.4326972042739,34.798407591179,NA,0,14.0988023785497,0.0053988996172594
"152","position19","serengeti",62.3903460207613,5.16494482111926,NA,NA,"within food web",NA,NA,NA,1.65791048772449,0.530718878546199,NA,NA,NA,NA,NA,NA,0.0319164239960954,NA,NA,NA
