"","Source","Target","draw","tpr","tnr","ppv","npv"
"1321","Serengeti","Euro",21,0.75421674228518,0.736617516548473,0.118659444968151,0.984554593792237
"1322","Serengeti","Euro",22,0.733834378138746,0.713755790947802,0.107568588428812,0.982769290099236
"1323","Serengeti","Euro",23,0.70721781595262,0.738657884238037,0.112870416945349,0.981705034118429
"1324","Serengeti","Euro",24,0.720344266269525,0.732053150519862,0.112214452969042,0.982355910425844
"1325","Serengeti","Euro",25,0.736916842725037,0.726333444606378,0.112376344824308,0.983255481757601
"1326","Serengeti","Euro",26,0.754112838984518,0.747311941768916,0.123048536172545,0.984765920466067
"1327","Serengeti","Euro",27,0.720274997402418,0.713430113742764,0.10568374407017,0.981899271062702
"1328","Serengeti","Euro",28,0.751584525335088,0.763930435349004,0.130198833637324,0.98494140321558
"1329","Serengeti","Euro",29,0.715582031655872,0.72913833953477,0.11048751727955,0.981990418428899
"1330","Serengeti","Euro",30,0.732137290894607,0.739051953656134,0.116539912949277,0.983244852840023
"1331","Serengeti","Euro",31,0.724379177778547,0.76387588441716,0.126054725168756,0.983318590192388
"1332","Serengeti","Euro",32,0.721868181345894,0.743189682546144,0.116731354066905,0.982708800306614
"1333","Serengeti","Euro",33,0.716032279292072,0.756821716156032,0.12160389621848,0.98266475250916
"1334","Serengeti","Euro",34,0.729938004363939,0.733802037110918,0.114200022758183,0.982990823006398
"1335","Serengeti","Euro",35,0.727617497315831,0.750915560042664,0.120757590998577,0.983231539928636
"1336","Serengeti","Euro",36,0.716188134243064,0.763651167145684,0.124703370793293,0.982826389245457
"1337","Serengeti","Euro",37,0.724257957261109,0.747081525146351,0.118660273506213,0.982942615715547
"1338","Serengeti","Euro",38,0.713815675544626,0.744673142215094,0.116173217028592,0.982251882367976
"1339","Serengeti","Euro",39,0.725158452533509,0.743381832097117,0.117278522136584,0.982914199590914
"1340","Serengeti","Euro",40,0.718508641291172,0.769571164540266,0.127858961005343,0.983093244578501
"1341","Serengeti","Euro",41,0.772365185467392,0.755576815039773,0.12935174765954,0.986033074359933
"1342","Serengeti","Euro",42,0.75168842863575,0.739064980744335,0.119286047981533,0.984449052453946
"1343","Serengeti","Euro",43,0.723080386520279,0.692507795898096,0.0995541462018979,0.981546063868091
"1344","Serengeti","Euro",44,0.740986388667613,0.74331995342816,0.119506990721863,0.983880979836407
"1345","Serengeti","Euro",45,0.743774460568697,0.733361558691103,0.115943828656887,0.983838657459493
"1346","Serengeti","Euro",46,0.742319814359436,0.742972293011781,0.119553758192721,0.983955247216429
"1347","Serengeti","Euro",47,0.735895126935199,0.753879222608512,0.123251436410728,0.983795752746838
"1348","Serengeti","Euro",48,0.741800297856129,0.758176533328991,0.126045326412552,0.984240733107144
"1349","Serengeti","Euro",49,0.744484466456551,0.738433981159574,0.118026405014152,0.983991658954527
"1350","Serengeti","Euro",50,0.721850864129117,0.733008198923637,0.112779554444462,0.982471762972663
"1351","Serengeti","Euro",51,0.7300419076646,0.729717230766726,0.112682795138471,0.982903705165957
"1352","Serengeti","Euro",52,0.763862432029924,0.707962807663185,0.10951034402286,0.984560041577829
"1353","Serengeti","Euro",53,0.734042184740069,0.694156536748602,0.101399906226377,0.982304983823543
"1354","Serengeti","Euro",54,0.718214248605964,0.732561206959722,0.112108556677344,0.982236021183152
"1355","Serengeti","Euro",55,0.743410799016382,0.735801695149852,0.116839039790975,0.983868895721017
"1356","Serengeti","Euro",56,0.732708759048246,0.762029294664593,0.126456637845237,0.983775977094013
"1357","Serengeti","Euro",57,0.717608146018772,0.720016121021649,0.107544936909254,0.981893946291407
"1358","Serengeti","Euro",58,0.736951477158591,0.723578215451755,0.111385646233576,0.983194969332755
"1359","Serengeti","Euro",59,0.687406919959824,0.767141612590681,0.121878204695205,0.981202005286057
"1360","Serengeti","Euro",60,0.708100994008243,0.727285236238103,0.108796006822034,0.981479263609544
"1361","Serengeti","Euro",61,0.740449554947529,0.691120411004633,0.10129179133294,0.982649343793737
"1362","Serengeti","Euro",62,0.722075987947217,0.716306657656264,0.1068792101135,0.982084650556359
"1363","Serengeti","Euro",63,0.713884944411734,0.748976152286661,0.117939885676358,0.982356245368007
"1364","Serengeti","Euro",64,0.725920410071693,0.718607567109859,0.108170248343346,0.982383674596072
"1365","Serengeti","Euro",65,0.736276105704291,0.735467876014688,0.11571833715278,0.983420391970719
