"","species","role","predicted","targetFW","sourceFW"
"306","Chen caerulescens","position24",0.4,"Arctic","Arctic"
"307","Chen caerulescens","position25",0.08,"Arctic","Arctic"
"308","Chen caerulescens","position26",0.05,"Arctic","Arctic"
"309","Chen caerulescens","position27",0.12,"Arctic","Arctic"
"310","Chen caerulescens","position28",0.59,"Arctic","Arctic"
"311","Chen caerulescens","position29",0.05,"Arctic","Arctic"
"312","Chen caerulescens","position30",0.08,"Arctic","Arctic"
"313","Dicrostonyx groenlandicus","indegree",0.5,"Arctic","Arctic"
"314","Dicrostonyx groenlandicus","outdegree",8.11,"Arctic","Arctic"
"315","Dicrostonyx groenlandicus","betweeness",1.96343650793651,"Arctic","Arctic"
"316","Dicrostonyx groenlandicus","closeness",0.872773714575185,"Arctic","Arctic"
"317","Dicrostonyx groenlandicus","eigen",0.405157918889132,"Arctic","Arctic"
"318","Dicrostonyx groenlandicus","TL",1.66290169928678,"Arctic","Arctic"
"319","Dicrostonyx groenlandicus","OI",0.102427990405798,"Arctic","Arctic"
"320","Dicrostonyx groenlandicus","within_module_degree",-0.691292066359181,"Arctic","Arctic"
"321","Dicrostonyx groenlandicus","among_module_conn",0.582487076640738,"Arctic","Arctic"
"322","Dicrostonyx groenlandicus","position1",0.08,"Arctic","Arctic"
"323","Dicrostonyx groenlandicus","position2",0.12,"Arctic","Arctic"
"324","Dicrostonyx groenlandicus","position3",0.43,"Arctic","Arctic"
"325","Dicrostonyx groenlandicus","position4",0,"Arctic","Arctic"
"326","Dicrostonyx groenlandicus","position5",14.3,"Arctic","Arctic"
"327","Dicrostonyx groenlandicus","position6",0.96,"Arctic","Arctic"
"328","Dicrostonyx groenlandicus","position7",0.02,"Arctic","Arctic"
"329","Dicrostonyx groenlandicus","position8",0.25,"Arctic","Arctic"
"330","Dicrostonyx groenlandicus","position9",4.38,"Arctic","Arctic"
"331","Dicrostonyx groenlandicus","position10",72.65,"Arctic","Arctic"
"332","Dicrostonyx groenlandicus","position11",0.01,"Arctic","Arctic"
"333","Dicrostonyx groenlandicus","position12",0.09,"Arctic","Arctic"
"334","Dicrostonyx groenlandicus","position13",8.1,"Arctic","Arctic"
"335","Dicrostonyx groenlandicus","position14",0.47,"Arctic","Arctic"
"336","Dicrostonyx groenlandicus","position15",0,"Arctic","Arctic"
"337","Dicrostonyx groenlandicus","position16",2.18,"Arctic","Arctic"
"338","Dicrostonyx groenlandicus","position17",1.47,"Arctic","Arctic"
"339","Dicrostonyx groenlandicus","position18",0.01,"Arctic","Arctic"
"340","Dicrostonyx groenlandicus","position19",0.09,"Arctic","Arctic"
"341","Dicrostonyx groenlandicus","position20",0.07,"Arctic","Arctic"
"342","Dicrostonyx groenlandicus","position21",0.08,"Arctic","Arctic"
"343","Dicrostonyx groenlandicus","position22",0,"Arctic","Arctic"
"344","Dicrostonyx groenlandicus","position23",0.03,"Arctic","Arctic"
"345","Dicrostonyx groenlandicus","position24",0.49,"Arctic","Arctic"
"346","Dicrostonyx groenlandicus","position25",0.07,"Arctic","Arctic"
"347","Dicrostonyx groenlandicus","position26",0.04,"Arctic","Arctic"
"348","Dicrostonyx groenlandicus","position27",0.04,"Arctic","Arctic"
"349","Dicrostonyx groenlandicus","position28",0.72,"Arctic","Arctic"
"350","Dicrostonyx groenlandicus","position29",0.14,"Arctic","Arctic"
"351","Dicrostonyx groenlandicus","position30",0,"Arctic","Arctic"
"352","Eremophila alpestris","indegree",0.21,"Arctic","Arctic"
"353","Eremophila alpestris","outdegree",8.11,"Arctic","Arctic"
"354","Eremophila alpestris","betweeness",0.504563492063492,"Arctic","Arctic"
"355","Eremophila alpestris","closeness",0.852452335598698,"Arctic","Arctic"
"356","Eremophila alpestris","eigen",0.387847960001891,"Arctic","Arctic"
"357","Eremophila alpestris","TL",1.23239548021365,"Arctic","Arctic"
"358","Eremophila alpestris","OI",0.142569913189163,"Arctic","Arctic"
"359","Eremophila alpestris","within_module_degree",-0.703613864188828,"Arctic","Arctic"
"360","Eremophila alpestris","among_module_conn",0.570351539193993,"Arctic","Arctic"
"361","Eremophila alpestris","position1",0,"Arctic","Arctic"
"362","Eremophila alpestris","position2",0.13,"Arctic","Arctic"
"363","Eremophila alpestris","position3",0.25,"Arctic","Arctic"
"364","Eremophila alpestris","position4",0,"Arctic","Arctic"
"365","Eremophila alpestris","position5",15.52,"Arctic","Arctic"
"366","Eremophila alpestris","position6",0.72,"Arctic","Arctic"
