"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"153","position2","Arctic",NA,NA,NA,NA,"within food web",NA,104.873769145877,11.8602422034362,NA,NA,NA,NA,NA,NA,3.07466428470939,0.296495493582206,NA,NA,NA,0.36021399447787
"154","position2","Arctic",432.090660182613,24.1693024815693,181.110571429872,12.2348422288546,"between food webs",0.906298289957944,NA,NA,0.0772667515331012,0.0667598500700814,0.961135096315302,0.338895502382159,3832.07672318845,106.965704237772,NA,NA,0.00450507413601766,0.0398100468959015,0.0995911223232263,NA
"155","position2","Euro",212.269218382206,25.4244897150107,132.338438178036,11.717194742856,"between food webs",NA,67.8145562001648,8.77964708503086,0.398791914687542,0.0702268972295237,1.01875347898852,0.324557074346642,NA,NA,1.21508556555693,0.219483358881121,0.0982393125498983,0.0483325316234272,NA,0.138275599801578
"156","position2","Euro",NA,NA,NA,NA,"within food web",2.04351798164519,NA,NA,NA,NA,NA,NA,2625.05721902257,124.412665127987,NA,NA,NA,NA,0.115835229989021,NA
"157","position2","Pyrenees",377.985653461078,26.1993229505546,NA,NA,"between food webs",1.06258655687339,60.4695208788299,6.74868981063107,0.206907182783348,0.0723671224459392,NA,NA,2956.6203841099,109.336172203101,1.03406494767534,0.16871123558139,0.0268748177094953,NA,0.101798162110237,0.164359159446745
"158","position2","Pyrenees",NA,NA,91.3642240432127,8.37529183928443,"within food web",NA,NA,NA,NA,NA,0.805862821679979,0.231988993595484,NA,NA,NA,NA,NA,0.0585571219205469,NA,NA
"159","position2","Serengeti",NA,NA,227.93947979957,13.6670967357526,"between food webs",0.273444692942314,156.654190504851,10.5338521940337,NA,NA,-0.0662530669876488,0.378567825210287,6256.18366343609,173.512745667356,0.329296942918288,0.263336924492751,NA,0.000157853524936164,0.161550182850986,0.00812040088887086
"160","position2","Serengeti",455.036094382699,29.1125908769097,NA,NA,"within food web",NA,NA,NA,0.934490414146426,0.0804140791227304,NA,NA,NA,NA,NA,NA,0.313300226528031,NA,NA,NA
"161","position20","Arctic",NA,NA,NA,NA,"within food web",NA,8.74492063492063,1.42164709792293,NA,NA,NA,NA,NA,NA,12.3950793650793,9.87507634032909,NA,NA,NA,0.00818119364012536
"162","position20","Arctic",57.388969072165,4.12495001029848,24.7364285714286,3.14403174645401,"between food webs",209.636276408447,NA,NA,0.791720667648499,0.37380517143443,NA,NA,542.563329665495,25.5095984975215,NA,NA,0.0149289478007163,0,18.0622167725414,NA
"163","position20","Euro",15.7529209621993,2.20007781528112,13.7060714285714,1.99471022641451,"between food webs",NA,4.23520870076426,0.773951947633739,0.702241177112307,0.199372225810498,NA,NA,NA,NA,14.0447912992357,5.37604204151364,0.0402272169117227,0,NA,0.0345003898921376
"164","position20","Euro",NA,NA,NA,NA,"within food web",116.257128055295,NA,NA,NA,NA,NA,NA,155.076019422714,10.3662042916424,NA,NA,NA,NA,7.33985009769109,NA
"165","position20","Pyrenees",46.0652233676976,3.51544148028898,NA,NA,"between food webs",148.244081184576,4.85243386243387,0.759785777777017,0.927625865924831,0.318571183147996,NA,NA,277.582432925619,11.7473510991025,10.5125661375661,5.27764068087387,0.0278468265813712,NA,8.3177789754612,0.0203505052624043
"166","position20","Pyrenees",NA,NA,6.95280612244898,0.918893348426882,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"167","position20","Serengeti",NA,NA,86.9163265306122,7.10566230783194,"between food webs",584.966101824946,86.8699470899471,7.62521365993342,NA,NA,NA,NA,2809.38649147806,95.052036098452,98.9350529100524,52.9664268391062,NA,0,67.3021365212189,0.017939239174895
"168","position20","Serengeti",196.642611683849,13.0935706864997,NA,NA,"within food web",NA,NA,NA,5.15593594883541,1.18654636369804,NA,NA,NA,NA,NA,NA,0.0599650099216314,NA,NA,NA
"169","position21","Arctic",NA,NA,NA,NA,"within food web",NA,8.86419017763845,0.885131940147416,NA,NA,NA,NA,NA,NA,5.68532392894469,3.88854086301718,NA,NA,NA,0.0110680253687947
"170","position21","Arctic",63.3723103448277,2.75743319510814,24.3937244897959,1.4910359554125,"between food webs",1.8529690452248,NA,NA,0.173237137383688,0.26713302899014,NA,NA,622.947793419241,13.9044836438283,NA,NA,0.00141879124038343,0,1.96625049324146,NA
"171","position21","Euro",17.2160344827587,1.64606125505747,13.7060714285714,1.3061050312146,"between food webs",NA,4.35626294290871,0.557056322404931,0.882047071702239,0.15946617664098,NA,NA,NA,NA,6.8184948228366,2.44724675997217,0.093677914484316,0,NA,0.0390558665632737
"172","position21","Euro",NA,NA,NA,NA,"within food web",5.10802237046297,NA,NA,NA,NA,NA,NA,197.98329185076,8.49419624614551,NA,NA,NA,NA,1.20117495812847,NA
